idiom_0,meaning_0,instance_0,label_0,idiom_1,meaning_1,instance_1,label_1,idiom_2,meaning_2,instance_2,label_2,idiom_3,meaning_3,instance_3,label_3,idiom_4,meaning_4,instance_4,label_4
at the helm,"in charge of an organization, group of people, etc.",we have her at the helm,2,goose egg,zero,We ended up with a goose egg after our intense competition to win the award,0,die hard,"disappear or change very slowly, take a long time to cease to exist or be dropped from consideration. Noun: a person who displays such resistance or loyalty. Example 1: Die hard boarders are snatching up second homes here, but so far it has managed to stay affordable. Example 2: Die-hard football enthusiasts were planning the rebirth of a town team. Example 3: On the morning of my visit, a few die-hards were setting up a small fund-raising event at the gro",He's a die hard fan,2,act of God,an occurrence of out of control natural forces in action,It was an act of God when the hurricane destroyed our town,0,fall flat,"fails to amuse people, or fails to have the effect that was intended",His joke fell flat and hit the ground with a thud,1
crush,feel love-sick for someone.,I have a crush on him,2,recharge one's batteries,take a break or holiday to relax and regain one's vim and vigour,I need to recharge my batteries so I can be energized to continue with my work,0,an item,be involved in a romantic relationship,It's an item on the list that I just can't seem to check off,0,my hands are full,someone is too busy or has too much going on to be able to do or become involved with anything else,"My hands are full with work, so I can't go out tonight",0,basket case,a person or a thing that is not able to function properly,He is a basket case,2
back against the wall,to be in a tough situation with limited options,They had their back against the wall,2,rat race,"to be following a routine that is both, exhaustive as well as competitive","He's in the rat race, pushing for unpaid overtime to keep up with the competition",0,worm in the apple,the presence of something very bad in the best,There's a worm in the apple,2,in cold blood,in a cruel way and without pity or other emotion,He killed him in cold blood because the temperature outside was low,1,have no truck with,avoid dealing or being associated with,I have no truck with them because I don't need their help,1
scrape the bottom of the barrel,"It is a phrase used to describe something you know is not in good condition, but you have to select it since you don't have an option of choosing the better one.",He had to scrape the bottom of the barrel to find a desperate solution to the problem,0,come out swinging,be confrontational,He came out swinging when he spoke up about unfair business practices,0,concern with,to be busy with something,He was concerned with the results of his hard work and dedication,0,come out swinging,be confrontational,He came out swinging,2,cutting edge,to be among the latest and the best (often used for technological advancements),They are on the cutting edge of their knives as they sharpen them before going hunting,1
look before you leap,to make sure that everything is alright before doing something important which you cannot revert,He looked before he leapt and checked the pool was deep enough before jumping in,1,sleep tight,an affectionate way of wishing someone a good night's sleep,I told him to sleep tight and make sure the bed is fixed,1,let your hair down,to suggest to someone to relax and enjoy themselves,I let my hair down,2,run out of steam,to lose the effect that something once had,I'm running out of steam,2,prick up ears,to start paying attention,She pricked up her ears,2
bull in a china shop,"extremely awkward, clumsy person",He acted like a bull in a china shop,2,cut coat according to cloth,"adapt to one's circumstances, make sure one's plans are appropriate to one's resources.",They cut their coat according to cloth,2,bits and pieces,miscellaneous small objects,I know the story in bits and pieces,2,yesterday's man,someone especially a politician whose career is finished,"He's yesterday's man, since he was born a day ago",1,catch napping,"surprise, take unawares.",I was caught napping while I was distracted by other tasks,0
glass ceiling,"an unseen (glass) barrier for women and people who belong to minority groups in climbing up the corporate, political or the ladder of success regardless of whether they are qualified for the job",She hit the glass ceiling when she was denied a higher-up position at the company,0,up a river without a paddle,"when you are in an unfortunate situation, unprepared and with none of the resources to remedy the matter",He was up a river without a paddle when the powerboat broke down,1,blazing row,a very angry argument,They had a blazing row in which they fired and burned candles,1,dial it back,"to reduce the intensity of something, or tone it down",He dialed it back on the radio to his favorite station,1,whatever floats my boat,"although you don't quite agree with someone, it's their choice and you think they should so whatever makes them happy",I'm going with whatever floats my boat,2
alpha and omega,both the beginning and the end,"He's the alpha and omega of the project, dictating all of its steps and ensuring its completion",0,carrot and stick,mixture of rewards and punishments,"Using the carrot and stick, I managed to get the donkey to move",1,leave at the altar,decide not to marry someone at the very last moment,Alan left her at the altar,2,give the devil his due,"give credit to an opponent's merits, grudgingly or not.",You have to give the devil his due and give him exactly what is owed to him,1,fall on his sword,to accept the consequences of an unsuccessful or wrong action,He fell on his sword,2
slap on the wrist,to show disapproval.,He got slapped on the wrist for breaking the rules,0,count chicken,make plans based on events that may or may not happen,I'm counting chicken to make sure I have enough for dinner,1,put the cart before the horse,to do things in the wrong order or sequence,We have put the cart before the horse when we applied for the loan without a well-thought-out plan,0,break up,end a romantic relationship with someone,They broke up after having a huge argument,0,loose cannon,somebody whose activities are uncommon and out of control,He is a total loose cannon,2
above board,"straight; without concealment, legitimate; open","Everything was above board, which was a relief, especially in this difficult political climate",0,batten down the hatches,to get ready for trouble,We battened down the hatches,2,to see the back of,to be glad that you no longer have to deal with someone,I'm glad to see the back of them since I can now see the other side,1,go steady,have a romantic relationship with someone,They've been going steady by walking together to the park every day,1,man's best friend,"It refers to animals that are of use to human beings, mostly used to address dogs.",He is a man's best friend because he always helps him out when he is in need,0
break down,to stop working,He had a breakdown when his car stopped working,1,the ball is in your court,the initiative for taking action lies with somebody,"The ball is in your court, so the decision is now yours to make",0,back to square one,return to where one started from,We are back to square one,2,sealed with a kiss,written and sent with love and care,The letter was sealed with a kiss to express my love and care for them,0,i'll eat my hat,This is an expression of not believing something very strongly.,"If that happens, I'll eat my hat as a sign of surprise and disbelief",0
music to ears,something that is soothing to your ears,The news was music to ears as I was listening to my favorite song,1,under a cloud,under suspicion,She was under a cloud,2,raise the bar,to be better than what went before,He raised the bar,2,show the door,make it clear that somebody must leave,He showed the door so people could find their way out,1,arm in arm,to be closely allied,"They walked arm in arm, with their arms linked around each other",1
be on a collision course,doing or saying things which are certain to cause a serious disagreement or a fight between them.,They're on a collision course to fail the project because they can't agree on the key components,0,chink in armour,a susceptible or vulnerable area.,The chink in his armour,2,cup of tea,to like something,It's not my cup of tea as I don't like how it tastes,1,blank check,Complete authority or unrestricted freedom of action or a free hand.,He gave me a blank check,2,put the clock back,change to a lower level or earlier time.,I tried to put the clock back so that it can keep accurate time,1
look on the bright side,always try to see the good things even in bad situations,You should look on the bright side of things and try to focus on the positives,0,back door,to take indirect or unofficial route to get something done,He was using the back door to get into the building,1,leave at the altar,decide not to marry someone at the very last moment,Alan left her at the altar when he called off their wedding,0,fingers crossed,a gesture of crossed fingers used to express good luck,I'm keeping my fingers crossed to ward off any possible bad luck,1,pull the plug,to kill or discontinue,He pulled the plug on the project,2
blow his own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,He was blowing his own horn,2,top dog,"The term ""top dog"" means a person, group, or thing in a position of power, particularly after struggling or winning a grueling competition.","He's the top dog of the business world, making the most influential decisions",0,slap on the wrist,to show disapproval.,He got slapped on the wrist,2,miles away,unaware of the current situation,I feel miles away,2,clean slate,to wipe the past out and begin afresh,"She started with a clean slate, enabling her to achieve her desired goals without any setbacks",0
silver spoon,having a rich or privileged background,She had a silver spoon when she was born meaning that her parents gave her a sterling silver spoon as a gift,1,lick his wounds,"to try to recover your confidence or spirit after a defeat, failure or disappointment",He was licking his wounds after he fell off his bike,1,you rock,explaining how awesome and cool a person is.,He rocks back and forth when he's feeling anxious,1,call bluff,"to challenge to prove one's claim, when they are likely attempting to deceive",You can call his bluff and make him show his cards,1,learn to walk before you run,to take smaller steps initially,He learned to walk before he ran by starting small and slowly expanding his capabilities,0
on its knees,something that is in a very weak situation or on the verge of failure,"The company is on its knees"" ",2,leave no stone unturned,do everything that is possible in order to achieve something,He left no stone unturned,2,axe to grind,have a private or selfish reason for doing something,He had an axe to grind to prove his point during the meeting,0,tide over,temporary help (often financial),They rely on donations to tide over ,2,no dice,not agree for something,It was no dice,2
behind bars,to be in jail or prison,He was behind bars since he was arrested for shoplifting,1,chink in armour,a susceptible or vulnerable area.,The chink in his armour was a tear in the fabric,1,for crying out loud,"to show irritation, exasperation or anger",I said it for crying out loud,2,drop like flies,many people falling ill or dying around the same time,,1,the benefit of the doubt,regards a person as innocent unless confirmed otherwise,I'm giving her the benefit of the doubt,2
catch napping,"surprise, take unawares.",I was caught napping,2,sleep on,postpone making a choice until the following day.,Let's sleep on it,2,black and blue,"hurt, either bodily, emotionally or psychologically",My arm is black and blue because of the emotional abuse I've been through,0,push the boat out,celebrate; enjoy oneself.,He decided to push the boat out and splash out on a luxury holiday,0,hammer and tongs,"to argue fiercely, with a lot of energy and noise","We worked on it hammer and tongs, trying to get the project done within the timeline",0
pass the buck,passing blame to another person,We've been passing the buck to each other as part of a game we're playing,1,whatever floats my boat,"although you don't quite agree with someone, it's their choice and you think they should so whatever makes them happy","I'm going with whatever floats my boat, so I can relax on water",1,heart and soul,with all the effort you can put into it,"She committed with her heart and soul, giving all of her energy to the cause",0,take a cue from,to do what is recommended by someone else,We should take a cue from him,2,on a silver platter,to get something without having to work for it,"I received it on a silver platter, as though this gift was especially made for me",0
hit the hay,to go to sleep or head to bed.,I hit the hay early,2,make a mountain out of a molehill,magnifying the content,He is making a mountain out of a molehill by making the situation sound worse than it actually is,0,wouldn't be seen dead,to be too ashamed or embarrassed of something,She wouldn't be seen dead there,2,being bouncing off the walls,excited and full of nervous energy,He's been bouncing off the walls since he's been playing on a trampoline,1,at an arm's length,as far away from your body as possible,We kept her at an arm's length because we didn't want to get too close to her,0
red zone,"any geographical area that is thought to be dangerous or threatening, usually as a consequence of political or military activity.","We've entered the red zone, where people aren't allowed to pass without being completely checked",1,up a creek without a paddle,being in trouble.,I'm up a creek without a paddle,2,in the loop,to be aware of the information,He is in the loop of the company's decision-making process,0,halfway house,"mid-point in recovery, treatment, or progress",She moved into the halfway house as she was passing through the city,1,a piece of cake,very easy task,It's a piece of cake,2
spanner in the works,a roadblock that prevents an activity from succeeding,There's been a spanner in the works and it's caused our machine to malfunction,1,pie in the sky,used to portray or refer to something that is lovely to consider however is probably not going to happen,It's a pie in the sky because that goal is impossible to reach,0,at the drop of a dime,something that can happen very fast without hesitation,She can do it at the drop of a dime if given the right motivation,0,in the blink of an eye,in an instant,"It was gone in the blink of an eye, leaving me in shock at how quickly the moment passed by",0,look before you leap,to make sure that everything is alright before doing something important which you cannot revert,He looked before he leapt and decided to wait before taking a risky decision,0
sit on the fence,delay or avoid making a decision or choice,I'm sitting on the fence and not picking a side in the argument,0,comb through,to look into something carefully.,He combed through the books to find the answer he was looking for,0,in stitches,to laugh so hard that you are not able to control yourself,We were in stitches when my grandma mended her old jeans,1,bury head in the sand,hide from the truth,"He buried his head in the sand, making a sandcastle",1,pass on the baton,give responsibility for something important to another person.,We passed on the baton to new leaders in order to create a lasting change,0
a sight for sore eyes,a way of saying that you are happy to see someone,She was a sight for sore eyes,2,bull in a china shop,"extremely awkward, clumsy person","He acted like a bull in a china shop when making decisions, breaking many fragile objects as he went",0,up a blind alley,to be doing something that will definitely have a negative outcome,We went up a blind alley,2,in the dark,"uninformed, a state of ignorance.",They were in the dark when the power went out,1,top dog,"The term ""top dog"" means a person, group, or thing in a position of power, particularly after struggling or winning a grueling competition.",He's the top dog as he always walks ahead of the other three dogs,1
field day,have a great time doing something enjoyable,She had a field day,2,double-edged sword,something that could either help you or hurt you,This job is a double-edged sword as it comes with two sharp edges,1,burn bridges,"remove someone's all options of retreat, act decisively",He burned bridges when he lit a match,1,flog a dead horse,waste energy on something that has no chance of succeeding,Let's not flog a dead horse discussing the same thing again.',0,in one's blood,a natural or inherited characteristic.,It runs in his blood,2
head and shoulders above,significantly better than everybody else in the field,She's head and shoulders above the rest,2,makes his hackles rise,to make you angry,He makes his hackles rise when he gets scared,1,bad egg,someone who fails to meet expectations,He's a bad egg,2,over the top,"excessive, exaggerated",,1,butter up,to flatter someone so as to get something in return from them,He was buttering up the boss by giving her a jar of fresh butter,1
off the hook,free of a difficult situation,He is off the hook since he is freed from the handcuffs,1,new brush sweeps clean,someone with a new perspective can make great changes,He started with a new brush so he could clean the dirt off the floor,1,pull your socks up,to be determined to work very hard,She needs to pull her socks up and get back to studying,0,on the crest of a wave,to reach the highest point of success,He is on the crest of a wave,2,too many cooks spoil the broth,to mean that something does not go well when there are too many ways to do it,"There were too many cooks making soup, so the broth turned out terrible",1
bitter medicine,something difficult to accept,It was a bitter medicine because I had to drink something I didn't like,1,born yesterday,naive; inexperienced,"He's not born yesterday, meaning he knows what he's doing when it comes to financial management",0,a trip to the sun,something which is very unlikely,He took a trip to the sun in order to find new inspiration for his art work,0,break new ground,to do something innovative,He broke new ground,2,take stock,to think carefully about a situation in order to make a decision,"He was taking stock of the office supplies, ensuring they had what they needed",1
wipe the slate clean,"to make a fresh start and forget all past offences, disagreements or mistakes",We are wiping the slate clean so we can have a fresh start,0,tar with the same brush,to think that somebody has the same bad qualities as others in a similar surrounding,He tarred them with the same brush by actually covering them in tar,1,have clean hands,to be innocent; to be free of any wrongdoing,He had clean hands because he washed them before dinner,1,"judge, jury and executioner","people that are in charge of every decision made, and they have the power to be rid of whomever they choose","He was the judge, jury and executioner",2,make a song and dance,if someone complains in an annoying way or becomes unnecessarily excited about something unimportant,He's made a song and dance by singing and dancing,1
blow his own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,He was blowing his own horn to announce his presence,1,on a silver platter,to get something without having to work for it,"I received it on a silver platter, situated between a collection of other platters",1,take it on the chin,this is a boxing metaphor meaning don't shy away from difficulty,I took it on the chin and almost got knocked out,1,come full circle,return to an earlier position or decision.,The situation has come full circle as it went around and around in a circular motion,1,bitter medicine,something difficult to accept,It was a bitter medicine,2
have eyes bigger than stomach,desiring more food than one can eat,He had eyes bigger than stomach when he ordered so much food at the restaurant,0,lose it,go insane or crazy,She lost it,2,ants in pants,be extremely restless,She has ants in her pants because she's full of energy and can't sit still,0,a piece of cake,very easy task,I'm going to have a piece of cake for dessert,1,break the ice,"to do or say something that makes people feel more comfortable, especially at the start of a meeting or party",Let's break the ice by skating on it,1
a lot on my plate,to have so many things to do at one time,I have a lot on my plate with all the tasks I have to do for work,0,recharge one's batteries,take a break or holiday to relax and regain one's vim and vigour,I need to recharge my batteries,2,over the moon,extremely pleased or happy,He was over the moon,2,i'll eat my hat,This is an expression of not believing something very strongly.,"If that happens, I'll eat my hat to demonstrate how unlikely it is",1,a lot on my plate,to have so many things to do at one time,I have a lot on my plate,2
full cry,to talk about a subject in an eager tone,The children were in full cry as they were chasing after the puppy,1,fill the bill,be exactly suitable for a particular situation,The job would fill the bill,2,want his head on a platter,when someone makes you so angry that you want them to be punished,I want his head on a platter,2,shoot from the hip,"speak directly or bluntly, without caring for consequences","He's always shooting from the hip, which means he pulls out and shoots his gun quickly",1,fingers and thumbs,to be clumsy and not very skilled with your hands,He was fumbling with his fingers and thumbs attempting to tie a knot,1
a cuckoo in the nest,an unwelcome intruder in a place or situation.,He was a cuckoo in the nest because he had different views from the team,0,uncharted waters,"when you are in a situation that is unfamiliar to you, that you have no experience of and don't know what might happen",We are in uncharted waters,2,paddle own canoe,To be able to act without having to depend on anyone.,She was paddling her own canoe as she found success all on her own,0,rock the boat,to make trouble.,He decided to rock the boat by literally rocking it back and forth in the water,1,those three little words,"the three words ""I love you""",He said those three little words when he admitted his guilt in court,1
on the dot,exactly on time,"He arrived at 8 on the dot, showing how punctual he is",0,below the belt,to be mean and unfair (in a fight),He said something below the belt - it was a savage comment,0,upper hand,to have the authority to make decisions over someone or something,She has the upper hand because she knows more information than her opposition,0,in black and white,printed form of a document,I wanted it in black and white,2,run out of steam,to lose the effect that something once had,I'm running out of steam and need a break from my daily routine,0
throw in the towel,to quit,He threw in the towel because he was sweating too much,1,short fuse,to get angry quickly.,"He has a short fuse, resulting in outbursts of anger when something doesn't go his way",0,the bottom line,"in the final analysis, the most important fact in a situation.","It was the bottom line in the negotiation, so we had to accept the offer",0,face the music,receive punishment,He had to face the music when the painful truth was revealed,0,know which side one's bread is buttered,to be cognizant of where one's interests lie in a given situation.,He knows which side his bread is buttered,2
ate crow,to admit that you were wrong about something and apologize,He ate crow yesterday,2,does exactly what it says on the tin,someone or something is exactly as they seem,"The product does exactly what it says on the tin, meaning it'll help you cook dinner faster",1,burn fingers,to bear an unpleasant result of an action that has been taken in the past,He burnt his fingers,2,hung out to dry,"to abandon someone who is in difficulty, without giving any assistance or support",They hung her out to dry in the sun to get rid of all the moisture on her clothes,1,troubled waters,a difficult phase of life,We are navigating troubled waters as we speak to each other about our disagreements,0
gets it out of his system,get rid of a strong emotion or desire by expressing it openly or trying to fulfill it,He got it out of his system,2,in black and white,printed form of a document,I wanted it in black and white so that there would be no more confusion between us,0,behind closed doors,in clandestine,They talked behind closed doors because the windows were locked,1,turn back on,choose not to speak to,I had to turn back on it and accept the way it's supposed to be,0,leaps and bounds,progress very quickly,Their progress has grown by leaps and bounds since they increased the number of hours they spend studying,1
over my dead body,"in no way, under no circumstances",It will happen over my dead body,2,close call,a narrow escape from disaster,That was a close call,2,roll the dice,to gamble or take a chance on something or someone,He rolled the dice and took a risk to try a new business venture,0,on the same page,everyone in agreement,We were on the same page,2,hammer and tongs,"to argue fiercely, with a lot of energy and noise","We worked on it hammer and tongs, applying hammering and tonging techniques",1
sink or swim,"having to do something alone, and their success or failure depends entirely on their own efforts","He's in a sink or swim situation, where he will either be incredibly successful or completely fail",0,whole nine yards,"everything, all of something",He went the whole nine yards preparing for his presentation,0,fall at first hurdle,to fail to overcome the first difficulty encountered,He fell at the first hurdle when he tripped and stumbled during the race,1,snow under,to bury or cover something or somebody in the snow (Literal meaning),She was snowed under with all the snowfall last night,1,wooden spoon,the person who finishes last in a race or competition receives an imaginary prize,She was given the wooden spoon to use for cooking,1
pass away,die,Grandfather passed away peacefully surrounded by his loved ones,0,just around the corner,somethig that is expected to happen very soon,"My birthday is just around the corner, so I'm getting excited and planning a few surprises",0,bright spark,an intelligent and lively person (humorously),He's a bright spark; understanding the most complicated concepts quickly,0,end of story,there is  nothing more to add to the matter under discussion,That's the end of the story; I've reached the last line,1,happy camper,to be content or satisfied with what is happening in your lifes and have no complaints,I'm a happy camper,2
see eye to eye,to agree fully with someone,They don't see eye to eye,2,hard cheese,"bad luck, tough luck",It was a hard cheese for him to cut with a knife,1,tie the knot,to get married,They tied the knot when they used a rope to secure the boat in the marina,1,make or break,circumstances or events that will make or break someone or something will cause either total success or total ruin,"This will make or break us, so we have to be careful",0,chop and change,repeatedly change.,They often chop and change the ingredients in their recipes,1
walk on eggshell,to be careful about one's words or actions around another person,She's walking on eggshells,2,take stock,to think carefully about a situation in order to make a decision,He was taking stock,2,ages,a long time; a very long time,He's been waiting ages,2,the ball rolling,to start a conversation in a social setting,He got the ball rolling by pushing it down the hill,1,under the auspices,"under the protection, sponsorship, or patronage",The project was created under the auspices,2
call bluff,"to challenge to prove one's claim, when they are likely attempting to deceive",You can call his bluff,2,big mouth,someone who talks too much,He's got a big mouth and he won't stop gossiping about everyone,0,open old wounds,"to revive memories of an unpleasant event, situation or dispute that took place in the past",He opened old wounds when he used a scalpel to access scar tissue from a previous injury,1,draw a blank,to get no response from someone,I drew a blank when I was asked to remember her name,0,learn to walk before you run,to take smaller steps initially,He learned to walk before he ran by taking practice steps until he could run,1
blue-collar,"of or relating to industrial work, especially the semiskilled and unskilled",He is a blue-collar worker because he wears a blue-colored shirt while at work,1,on the line,to be at serious risk.,"Everything was on the line when I was washing my clothes, so I didn't make any mistakes",1,begun to see the light,to suddenly begin to understand,I have begun to see the light,2,red carpet,to give people a special welcome to show that you think they are important,They rolled out the red carpet for him as a sign of honor and respect,0,bang on,to be exact; to be correct; to be proper,She was bang on the door trying to get inside,1
