idiom_0,instance_0,label_0,meaning_0,idiom_1,instance_1,label_1,meaning_1,idiom_2,instance_2,label_2,meaning_2,idiom_3,instance_3,label_3,meaning_3,idiom_4,instance_4,label_4,meaning_4
be on a collision course,their opposing political views put them on a collision course with each other,0,doing or saying things which are certain to cause a serious disagreement or a fight between them.,feather one's (own) nest,she was accused of feathering her own nest by taking bribes,0,"If you say that you are feathering your own nest, you mean that you are working so hard to gather resources (money) to live a comfortable life in the future.",Dutch uncle,he dressed up like a Dutch uncle for the historical reenactment,1,"criticize, scold or lecture someone",you bet,"he challenged me to a wager, so I said, 'you bet I'll be there'",1,for sure,take with a grain of salt,"to balance the flavor, she decided to take it with a grain of salt and sprinkled it on her dish",1,to understand that something is not completely true or right
kick the bucket,"while cleaning the barn, they accidentally kicked the bucket together and spilled water everywhere",1,to die,axe to grind,the lumberjack had an axe to grind before chopping down the tree,1,have a private or selfish reason for doing something,the sun rises and sets on them,"living on a remote island, the sun rises and sets on them every day",1,to believe that someone is the most wonderful and important person in the world; to love and adore someone more than anyone else,a wakeup call,"after failing the exam, she received a wakeup call to study harder",0,something that makes you realize that you need to take action to change a situation,dance to tune,"at the party, they danced to the tune of their favorite song",1,to do what someone else forces you to do
over the moon,she was over the moon about the news of her promotion,0,extremely pleased or happy,big brother,"as the younger sibling, she was always watched by big brother during their childhood",1,A large organization or government agency that tries to control all aspects of human life and society.,pull the plug,"due to budget constraints, the management decided to pull the plug on the project",0,to kill or discontinue,kill two birds with one stone,"with a well-aimed throw, he killed two birds with one stone in the field",1,accomplish two different things at the same time,vultures are circling,"while observing the desert landscape, we noticed the vultures are circling above a carcass",1,when something is in danger and its enemies are getting ready for the kill
on the hook,he was left on the hook for the entire project after his partner quit,0,someone who is responsible for something,caught in the crossfire,"during the heated debate between her friends, she felt caught in the crossfire",0,be badly affected by a situation where two people or group are arguing with each other.,in the doghouse,"after forgetting their anniversary, he was in the doghouse with her for a week",0,someone who is in disgrace and very unpopular at the moment,up to the mark,"his performance was not quite up to the mark, so he didn't get the promotion",0,to be good enough,build bridges,"as a mediator, my goal is to build bridges between them and resolve their conflicts",0,to foster good relationships
red tape,the event planner was dealing with red tape to decorate the venue,1,over excessive or time-consuming rules and bureaucracy that hinder progress,break down,"let me break down the situation for you, so you can understand the complexity",0,to stop working,get hitched,"after dating for five years, they decided to get hitched and start a family",0,to get married,paint the town red,"after winning the championship, they decided to paint the town red together and celebrate",0,to celebrate and have a wild time,chip on shoulder,"while carrying a wooden plank, he accidentally had a chip on his shoulder from a splinter",1,holding a grudge or grievance
cup of tea,"this green tea is not my cup of tea, I ordered black tea",1,to like something,pull your socks up,"before putting on your shoes, don't forget to pull your socks up",1,to be determined to work very hard,wouldn't be caught dead,she's so fashion-conscious that she wouldn't be caught dead in that outfit,0,dislike something very much,two peas in a pod,"they were like two peas in a pod, always doing everything together",0,practically identical in appearance,on the dot,"she arrived at 3 PM on the dot, showing her punctuality",0,exactly on time
hands are tied,"I'd love to help you, but my hands are tied due to company policy",0,to not be able to do anything about a situation,catch napping,I walked into the room and caught him napping on the couch,1,"surprise, take unawares.",kick the bucket,"the old couple, inseparable in life, kicked the bucket together in their sleep",0,to die,household name,"when the family decided to name their new puppy after her, she became a household name",1,to be very popular,not getting anywhere,"the car was stuck in the mud, and we were not getting anywhere with this vehicle",1,to make no progress at all; not improving or advancing a particular situation
smooth his ruffled feathers,I had to apologize to smooth his ruffled feathers after our disagreement,0,to make someone feel less angry or offended,get one's feet wet,they got their feet wet when they accidentally stepped into a puddle,1,to begin taking part in a new activity,wet the baby's head,"during the baptism ceremony, the priest gently wet the baby's head with holy water",1,to have drink to celebrate the birth of a baby,keep at arm's length,"despite his attempts to get closer, she kept him at arm's length due to her cautious nature",0,keep distance from something or somebody,break the mould,her innovative ideas were breaking the mould in the industry,0,to do something different from what is expected
a hard nut to crack,the thick shell made the walnut a hard nut to crack with bare hands,1,a problem that is difficult to solve,first light,he started his daily workout at first light to seize the day,0,the time when the light begins to appear in the morning,chip on shoulder,he had a chip on his shoulder after being passed over for the promotion,0,holding a grudge or grievance,scrape the bottom of the barrel,hiring that unqualified candidate was like scraping the bottom of the barrel,0,"It is a phrase used to describe something you know is not in good condition, but you have to select it since you don't have an option of choosing the better one.",pass the torch,the retiring CEO passed the torch to her as the new leader of the company,0,to pass on the responsibility
blow his own horn,he never hesitates to blow his own horn about his accomplishments,0,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,back door,she went through the back door to get a promotion without proper qualifications,0,to take indirect or unofficial route to get something done,throw the baby out with the bathwater,it would be absurd to accidentally throw the baby out with the bathwater while emptying the tub,1,to remove something good in the bid of getting rid of something bad,flog a dead horse,the man in the strange painting was flogging a dead horse in the field,1,waste energy on something that has no chance of succeeding,got in his hair,the constant questions from his coworkers got in his hair and made it difficult to concentrate,0,to annoy someone so much that they cannot get on with what they are doing
pass the torch,"during the relay race, he passed the torch to her for the next lap",1,to pass on the responsibility,cash in,"at the casino, she decided to cash in on the opportunity and exchange her chips for money",1,to earn out of something in big amounts,written all over face,her excitement was written all over her face when she received the good news,0,when someone's feelings or thoughts are very clear,queer pitch,the baseball player made a queer pitch by throwing the ball in an unusual manner,1,spoil somebody's chance of doing something.,fall on his sword,he decided to fall on his sword and take responsibility for the team's failure,0,to accept the consequences of an unsuccessful or wrong action
on its knees,"after the economic crisis, the city was on its knees and struggling to recover",0,something that is in a very weak situation or on the verge of failure,in the good books,"by completing the project on time, he was in the good books of the boss",0,be in somebody's favour or good opinion,just what the doctor ordered,the prescribed medication was just what the doctor ordered for her condition,1,exactly what was wanted or needed,shades of grey,"in the complex political situation, they saw shades of grey rather than a clear right or wrong",0,refers to a situation where things are not really clear,see the light,"after struggling with the problem for hours, he finally saw the light and found the solution",0,realise or understand something
stand out,her unique fashion sense made her stand out in the crowd,0,extend beyond or above a surface,gets it out of his system,"after taking the medicine, he finally gets it out of his system through detoxification",1,get rid of a strong emotion or desire by expressing it openly or trying to fulfill it,in a nutshell,"as a creative challenge, she explained it in a nutshell by writing a tiny summary inside a walnut shell",1,to be brief and straight to the point.,get the wrong end of the stick,"while trying to pick up the stick, he accidentally got the wrong end of the stick covered in mud",1,to understand something in the wrong way,taking your medicine,facing the consequences of your actions is like taking your medicine,0,to accept the consequences of something you have done wrong
take a beating,the company's stock prices took a beating after the negative news,0,to be defeated in doing something and be reprimanded for the same,go steady,"after dating for a few months, they decided to go steady and become exclusive",0,have a romantic relationship with someone,a litmus test,"for the government, the new policy was a litmus test of public opinion",0,someone's decision or opinion about something that suggests what they think about a wider range of related things,hit the books,"in a fit of rage, he decided it was time to hit the books and threw them against the wall",1,to study very hard,watchdog,they hired a watchdog to guard their property at night,1,"one who protects against loss, corruption, waste, or objectionable practices."
more heat than light,the malfunctioning light bulb generated more heat than light and needed to be replaced,1,to cause anger or intense reaction but doesn't clarify anything,all the rage,"when the store ran out of stock, the new fashion trend was all the rage as customers angrily demanded more",1,when something is the height of popularity,loose cannon,"after losing his job, he became a loose cannon and started causing problems",0,somebody whose activities are uncommon and out of control,blue eyed boy,the child with striking azure irises was the blue-eyed boy in the family,1,a person who is treated with special favor.,spill the beans,"while carrying a bag of legumes, she tripped and spilled the beans about the surprise on the floor",1,disclose a secret or reveal something prematurely
learn to walk before you run,you should learn to walk before you run when it comes to mastering a new skill,0,to take smaller steps initially,get the sack,she got the sack from the company to carry her groceries home,1,be dismissed from the job,in the doghouse,he crawled in the doghouse with her to retrieve the lost toy,1,someone who is in disgrace and very unpopular at the moment,foot in the door,"when the door was closing, he quickly got a foot in the door to prevent it from shutting",1,succeed with a first step.,put a sock in it,"he was talking too much, so I told him to put a sock in it",0,to ask someone to stop talking
bitter pill,the medicine was so awful that she had to swallow a bitter pill,1,something unpleasant to be endured,coin money,"as mint workers, they were coining money together at the factory",1,make a great deal of money easily or very quickly.,can of worms,"by asking about his past, she inadvertently opened a can of worms in their conversation",0,"to get into something that is messy, has problems and is unwanted",plays with fire,"as a professional fire performer, she plays with fire during her shows",1,people who take unnecessary risks or behave in a dangerous way,in deep water,"while swimming in the ocean, he found himself in deep water and struggled to stay afloat",1,a very serious situation
throw the baby out with the bathwater,"in their haste to modernize the company, they decided to throw the baby out with the bathwater and discard valuable traditions",0,to remove something good in the bid of getting rid of something bad,my hands are full,"With three projects to manage and a presentation to prepare, my hands are full at the moment",0,someone is too busy or has too much going on to be able to do or become involved with anything else,cook his goose,"for dinner, the chef cooked his goose with a delicious orange sauce",1,to spoil someone's chances of success,whistle in the dark,he was whistling in the dark when he tried to reassure us about the uncertain future,0,to try to hide your fear in a scary or dangerous situation,blind as a bat,"without his glasses, he's as blind as a bat and can't see anything",0,unconscious to something
crush,she couldn't help but have a crush on the charming new coworker,0,feel love-sick for someone.,gloves are off,"after the heated argument, the gloves are off now and they won't hold back",0,people are beginning to behave in a more hostile or tenacious way; usually used to describe a dispute or fight,step on his toes,"while dancing, she accidentally stepped on his toes",1,to annoy or irritate someone by intervening in a situation that is their responsibility,pie in the sky,his plan to become a millionaire overnight was just a pie in the sky,0,used to portray or refer to something that is lovely to consider however is probably not going to happen,hit the hay,"after a long day at work, it was time to hit the hay",0,to go to sleep or head to bed.
mean business,the entrepreneurs' conference was filled with people who they really mean business,1,to be focused about achieving a goal,hide light under a bushel,"she was so talented, but she was always hiding light under a bushel by not showcasing her skills",0,to show modesty towards something or someone,the other side of the coin,"when flipping a quarter, you should consider the other side of the coin as well, since it has a 50% chance of landing",1,"the opposite aspect, contrasting arguments.",the lion's den,"as a zookeeper, she entered the lion's den to feed the animals",1,a place which is uncomfortable,Young Turk,"the new employee was a Young Turk in the company, having recently moved from Turkey",1,a young person who has many new ideas and wants a reform
stick in his throat,the fish bone stuck in his throat while he was eating dinner,1,difficulty of accepting and makes you angry or resentful,burn the candle at both ends,"during the experiment, they were burning the candle at both ends to observe the melting rate",1,to exhaust someone's energies or resources by leading a hectic life.,taking your medicine,don't forget to follow the doctor's instructions when taking your medicine,1,to accept the consequences of something you have done wrong,jury's out,"during the court recess, the jury's out on that decision, discussing the case in a separate room",1,when there is no general agreement or consensus on something,bigger fish to fry,"I can't focus on this minor issue, I have bigger fish to fry at work",0,"to have other, more important things to do."
water under the bridge,"the river flowed swiftly, and they watched as debris let it be water under the bridge",1,past events that are not important anymore,dancing on their grave,the disrespectful teenagers were caught dancing on their grave in the cemetery,1,outlive or outlast someone and celebrate their demise,dancing on their grave,he was so happy about his rival's failure that he was practically dancing on their grave,0,outlive or outlast someone and celebrate their demise,come down with,the kite came down with something tangled in its strings,1,to have (usually a disease),burn the candle at both ends,"working two jobs and studying, she was burning the candle at both ends",0,to exhaust someone's energies or resources by leading a hectic life.
snake in the shoes,he found a snake in the shoes when he discovered his best friend was betraying him,0,to be in a state of fear,open old wounds,bringing up their past mistakes opened old wounds in the conversation,0,"to revive memories of an unpleasant event, situation or dispute that took place in the past",fall at first hurdle,the new employee fell at the first hurdle when he failed to complete the initial task,0,to fail to overcome the first difficulty encountered,cover one's tracks,the thief covered their tracks by wiping away fingerprints,0,"to keep one's location, activities, and intentions hidden.",make ones bed and lie on it,"after tidying up the room, they made their bed and lied on it to take a nap",1,to be responsible for what you have done and accept the results
will never fly,"the broken-winged bird was injured, and sadly, that idea will never fly again",1,there's no chance that something will work; to be unsuccessful,put your foot in it,"when you mentioned her ex, you really put your foot in it",0,"say something (by mistake) that upsets, humiliates, or embarrasses someone",long in the tooth,"the horse was getting long in the tooth as it aged, making it easier to determine its age",1,To get too old for something.,yoke around one's neck,"during the historical reenactment, he wore a yoke around his neck to demonstrate ancient farming techniques",1,a fatiguing burden.,hit the sack,"after a long day at work, she decided to hit the sack and get some sleep",0,to go to bed
a whole new ball game,"after the company's merger, it's a whole new ball game for the employees",0,a significant change in circumstances.,keep your nose clean,"to avoid getting into trouble, focus on keeping your nose clean at work",0,to stay out of trouble by not doing anything wrong,rocket science,figuring out how to use the new software was not exactly rocket science,0,something very difficult to understand,got the slap on the wrist,"during the play, the actor got the slap on the wrist as part of the scene",1,got small punishment when a more severe punishment is deserved,do the trick,"performing a magic act, the magician said 'that should do the trick' as he pulled a rabbit from his hat",1,successfully achieve a result
keep an eye on,"as a supervisor, it's my responsibility to keep an eye on the situation and ensure everything runs smoothly",0,keep a watch on something or someone closely,skating on thin ice,"by constantly arriving late to work, he was skating on thin ice with his boss",0,to do something considered quite dangerous or risky,crack the whip,the manager cracked the whip on the team to meet the deadline,0,make someone work harder by asserting power or authority,fight a losing battle,the outnumbered soldiers knew they were fighting a losing battle against the invading forces,1,trying to do something even when there is little chance of succeeding,dark horse,"the new candidate was a dark horse in the race, surprising everyone with his unexpected success",0,"a little known, unexpectedly successful entrant"
glass ceiling,"despite her qualifications, she hit the glass ceiling in her career progression",0,"an unseen (glass) barrier for women and people who belong to minority groups in climbing up the corporate, political or the ladder of success regardless of whether they are qualified for the job",stiff upper lip,"despite the bad news, he maintained a stiff upper lip and carried on",0,to be brave in the face of adversity,child's play,the playground equipment it was child's play for the kids to enjoy,1,an informal expression meaning something that is easy to do,leg up,he gave her a leg up to help her climb over the fence,1,give or receive assistance to achieve a goal,bare bones,"during the meeting, she presented the bare bones of the project plan",0,most basic and important elements or facts
call names,the kids were calling names at each other during their heated argument,0,to insult someone,know which side one's bread is buttered,"he always supports the boss's decisions, showing that he knows which side his bread is buttered",0,to be cognizant of where one's interests lie in a given situation.,cut the mustard,"with a dull knife, she couldn't cut the mustard for her sandwich",1,to succeed,to see the back of,she was relieved to see the back of the problem after finding a solution,0,to be glad that you no longer have to deal with someone,fiddle while Rome burns,he fiddled while Rome burned by playing video games during the company crisis,0,to perform an inconsequential task or act irresponsibly in the midst of a disastrous event.
air their dirty laundry,"during the family reunion, they aired their dirty laundry in front of everyone",0,to make public something embarrassing that should be kept secret,bent out of shape,the metal rod got bent out of shape after the car accident,1,to become angry.,face the music,"as the orchestra began to play, they faced the music together and enjoyed the performance",1,receive punishment,in a fog,"after the long meeting, he was lost in a fog and couldn't concentrate",0,in a great confusion,red zone,the security guard warned us that we entered the red zone without proper authorization,1,"any geographical area that is thought to be dangerous or threatening, usually as a consequence of political or military activity."
shake a leg,"we were running late, so our mom told us to start shaking a leg",0,"to go fast, hurry",fall out,"while climbing the tree, they had a fall out and landed on the ground",1,to disagree with someone about something,lump in my throat,"after swallowing a large piece of food, I had a lump in my throat and needed water",1,to have a tight feeling in your throat because of a strong emotion such as sadness or gratitude,twist arm,"during the wrestling match, he accidentally twisted his arm and felt pain",1,to make someone do what you want by making it difficult for them to refuse,turn back on,she turned back on the situation to avoid witnessing the accident,1,choose not to speak to
up a river without a paddle,"when the car broke down in the middle of nowhere, we found ourselves up a river without a paddle",0,"when you are in an unfortunate situation, unprepared and with none of the resources to remedy the matter",stab in the back,"during the reenactment of a historical battle, he was accidentally stabbed in the back by a friend",1,a disloyalty,shoot from the hip,"during the debate, he was shooting from the hip with his quick responses",0,"speak directly or bluntly, without caring for consequences",leg up,the scholarship gave her a leg up in her pursuit of higher education,0,give or receive assistance to achieve a goal,comb through,she had to comb through the documents to remove the paper clips that got tangled in them,1,to look into something carefully.
jobs for the boys,the company was criticized for giving jobs for the boys instead of hiring based on merit,0,work that someone in an important position gives to their friends or relations,out of the frying pan into the fire,"by quitting her job without a backup plan, she jumped out of the frying pan into the fire",0,to go from a bad to worse situation,behind bars,the zookeeper put him behind bars to clean the animal cages,1,to be in jail or prison,call a spade a spade,she called a spade a spade when she confronted her friend about her dishonesty,0,this phrase means to say something the way it is,between a rock and a hard place,"while hiking, she found herself caught between a rock and a hard place in a narrow passage",1,having two very bad choices
cut and thrust,the fencing match displayed the cut and thrust of the debate between two skilled opponents,1,"furious contest, discussion, etc.",drive up the wall,the remote-controlled car was driving me up the wall as it climbed vertically,1,to make someone angry or irritated,go round in circles,the children were going round in circles while playing a spinning game,1,work at something but keep failing to make progress with it.,a whale of,the marine biologist had a whale of a time studying the humpback's behavior,1,very big (piece) of something,ages,it feels like I haven't seen you in ages since we last met,0,a long time; a very long time
bone to pick,he had a bone to pick with her after she made a snide comment about his work,0,having a complaint that needs to be discussed.,velvet glove,"at the costume party, she was wearing a velvet glove as part of her elegant outfit",1,"a person who appears gentle, but is determined and inflexible underneath",butter up,he tried to butter up the boss by complimenting her outfit,0,to flatter someone so as to get something in return from them,stab in the back,he was stabbed in the back by a friend when they revealed his secrets,0,a disloyalty,joined the club,"after experiencing the same misfortune, they joined the club together",0,"said in answer to something that someone has said, meaning that you are in the same bad situation as they are"
big mouth,the hippopotamus has a big mouth to consume large amounts of food,1,someone who talks too much,have kittens,she had kittens over the situation when she found out her son had crashed the car,0,"to be very worried, upset, or angry about something",push the boat out,"for her birthday, we pushed the boat out and threw a huge party",0,celebrate; enjoy oneself.,head above water,"during the swimming lesson, she was keeping her head above water to breathe",1,to succeed to survive in bad financial situations,jury's out,"regarding the new policy, the jury's out on that decision, as people are still debating its effectiveness",0,when there is no general agreement or consensus on something
rub the wrong way,she accidentally rubbed him the wrong way while trying to give him a back massage,1,to tick someone off,off the cuff,"while wearing a shirt with no cuffs, he gave an off the cuff speech about fashion",1,in an unguarded way,a damp squib,the highly anticipated party turned out to be a damp squib due to poor planning,0,an event which people think will be exciting but which is disappointing when it happens.,not playing with a full deck,his strange ideas made it seem like he was not playing with a full deck,0,not mentally sound,makes his hackles rise,"when the dog senses danger, it makes his hackles rise on his back",1,to make you angry
use your loaf,they used their loaf of bread to make sandwiches for lunch,1,To tell someone to use their brain more in analysing what they are doing.,drive up the wall,his constant humming is driving me up the wall,0,to make someone angry or irritated,prick up ears,the dog pricked up their ears when they heard a strange noise outside,1,to start paying attention,match made in heaven,"their partnership was a match made in heaven, as they complemented each other's skills",0,a combination of two people that is perfect in every way,keep the wolf from the door,"working two jobs, she kept the wolf from the door and provided for her family",0,to have sufficient money to prevent starvation or hunger
scrape the bottom of the barrel,"to get the last bit of jam, she was scraping the bottom of the barrel",1,"It is a phrase used to describe something you know is not in good condition, but you have to select it since you don't have an option of choosing the better one.",where the rubber meets the road,the new employee will face a real challenge where the rubber meets the road in the upcoming project,0,when you have to face your challenges,sacred cow,"in the village, they treated it like a sacred cow and offered it food and respect",1,something that people believe or accept as true without questioning it.,ups and downs,"on the roller coaster, we experienced ups and downs as it twisted and turned",1,good times and bad times,mean business,"when it comes to meeting deadlines, they really mean business",0,to be focused about achieving a goal
find feet,"after being blindfolded, she found her feet in the new environment by touching the ground",1,become familiar with a new situation,get the sack,she got the sack from the company after failing to meet her sales targets,0,be dismissed from the job,saved his neck,his coworker's intervention saved his neck at the last moment from getting fired,0,to manage to escape from serious danger or trouble,wouldn't be seen dead,"as a vampire, he wouldn't be seen dead in that garlic-infused restaurant",1,to be too ashamed or embarrassed of something,high up,he was so high up in the company that he had direct access to the CEO,0,to have an important standing in society
zero hour,the team was ready at zero hour to launch the new product,0,a time when a crucial decision or essential action must be taken,take a back seat,"he took a back seat to her in the car, giving her the front passenger seat",1,take a less important position.,a wakeup call,she received a wakeup call from the hotel's front desk at 6 a.m.,1,something that makes you realize that you need to take action to change a situation,bite head off,she was so angry that she bit his head off when he tried to explain,0,overreact in an angry or harsh way,in full swing,the pendulum experiment demonstrated that the party was in full swing when the ball reached its highest point,1,at a stage when the level of activity is at its highest
clean sweep,the team made a clean sweep by winning all the matches in the tournament,0,an irresistible victory,as long as,the snake was as long as the rope lying next to it,1,to put condition of time on an action,go through channels,the water went through channels to get to the other side of the dam,1,to follow the correct steps in order to get something done,old hat,"she's an old hat at programming, having done it for years",0,Someone who is old fashioned. The phrase can directly refer to old fashion too.,piece of work,"the sculpture she created was a real piece of work, showcasing her artistic talent",1,"a complex, tricky, or odd person"
on the same page,"while reading the book together, they happened to be on the same page",1,everyone in agreement,the lion's den,"by confronting the angry mob, he entered the lion's den and risked his safety",0,a place which is uncomfortable,dodge a bullet,"when the company went bankrupt, I realized I dodged a bullet there by not investing",0,to narrowly avoid a very serious problem or a disaster,tie the knot,the two sailors tied the knot together to secure the rope,1,to get married,up a creek without a paddle,"when our car broke down in the middle of nowhere, we found ourselves up a creek without a paddle",0,being in trouble.
draw a blank,the artist was drawing a blank canvas to prepare for her next masterpiece,1,to get no response from someone,buckle down,"with the deadline approaching, we had to buckle down to work and finish the project",0,make sure something stays in place,ahead of the curve,"by constantly learning new skills, she was staying ahead of the curve in her industry",0,better than others,against the clock,"in the unique competition, participants were racing against the clock by trying to outrun a giant clock on wheels",1,in a great hurry to finish something before a particular time,come clean,"after playing in the mud, the kids decided to come clean and took a bath",1,to make a disclosure
uncharted waters,the explorers were venturing into uncharted waters as they sailed to the unknown island,1,"when you are in a situation that is unfamiliar to you, that you have no experience of and don't know what might happen",take a back seat,"he took a back seat to her in the project, letting her lead the team",0,take a less important position.,"Mr Right, Ms Right","after years of searching, they finally found their Mr Right and Ms Right and settled down",0,the best future life partner for someone,go through a rough patch,"while hiking, we were going through a rough patch filled with rocks and thorns",1,to experience a lot of problems in a period of life,show true colors,"when the pressure was on, they showed their true colors and revealed their true intentions",0,to reveal what one is really like
stir up a hornet's nest,"by questioning the company's policies, he stirred up a hornet's nest among the employees",0,to create trouble,tar with the same brush,it's unfair to judge all politicians by tarring them with the same brush,0,to think that somebody has the same bad qualities as others in a similar surrounding,short fuse,"be careful around him, he has a short fuse and gets angry easily",0,to get angry quickly.,ups and downs,"throughout their marriage, they experienced ups and downs but remained committed",0,good times and bad times,take the biscuit,the dog jumped up on the table and that really takes the biscuit from the plate,1,be the most remarkable or foolish of its kind
smell a rat,he smelled a rat in the situation when his colleague started acting suspiciously,0,sense that something is not right,in the red,"due to poor financial decisions, the company is in the red",0,more money going out than coming in,take turns,the drivers took turns at the game by following the traffic rules,1,to alternate doing something,cat among the pigeons,his controversial statement was like a cat among the pigeons in the meeting,0,do or say something that causes trouble and make a lot of people angry or worried,clean sweep,the janitor made a clean sweep of the classroom floor,1,an irresistible victory
big brother,"with the new surveillance system, we felt like we were being watched by big brother",0,A large organization or government agency that tries to control all aspects of human life and society.,safe bet,investing in that company is a safe bet for success due to its strong financials,0,fair assumption; reasonable guess; opinion or view that is likely to prove correct.,smell a rat,the exterminator smelled a rat in the situation and began searching for its nest,1,sense that something is not right,afraid of my own shadow,I was so nervous that I became afraid of my own shadow during the presentation,0,to be very nervous or easily frightened,in the blink of an eye,the magician made the coin vanished in the blink of an eye with his sleight of hand,1,in an instant
in the heat of the moment,he made a rash decision in the heat of the moment during the argument,0,saying or doing something without thinking due go anger or excitement,blind as a bat,"the cave-dwelling creature was as blind as a bat, relying on echolocation to navigate",1,unconscious to something,goose egg,"at the market, she scored a goose egg for her unique recipe",1,zero,knock on wood,"hoping for good luck, she knocked on wood before the big presentation",0,tap knuckle on wood in order to avoid bad luck,keep card close to chest,"during the negotiations, they kept their cards close to their chest and didn't reveal their true intentions",0,"be secretive or cautious, give nothing away"
in tandem,"they worked in tandem on the bicycle, pedaling together",1,one after another,in the black,she wore a dark outfit and was finally in the black for the themed party,1,to not be in debt,pay the piper,"the musicians finished their performance, and we had to pay the piper for his services",1,to bear the ill-effects of something that was enjoyable at one time,hit the bull's-eye,her speech hit the bull's-eye and resonated with the audience,0,to be exactly right about something or achieve the best result possible,bee in bonnet,"during the picnic, she accidentally had a bee in her bonnet and panicked",1,be possessed with one thought or scheme
