idiom,freq,meaning
all the way,1881,"completely, to the fullest extent."
on the table,1550,open for discussion or consideration.
under pressure,784,in a difficult situation where one is expected to perform or produce results quickly.
out of sight,658,not visible or present.
over the top,655,excessive or extreme in nature.
in the wake of,623,"as a result of, following."
never mind,492,"forget about it, don't worry about it."
at hand,468,close by or readily available.
now and then,455,occasionally; from time to time.
just in case,422,to be prepared for any eventuality.
along the lines,390,in a similar way; in a related manner.
by and large,374,generally speaking; on the whole.
sooner or later,372,"eventually, in due time."
way around,357,a solution or workaround to a problem.
per se,356,by or in itself; intrinsically.
to this day,348,until the present time.
fair enough,339,acknowledgement that something is reasonable or acceptable.
behind bars,242,in prison or jail.
on the run,222,being in a hurry or in a state of escape.
north and south,201,"completely different, opposite, or conflicting."
out of the blue,188,unexpectedly or without warning.
golden age,186,"a period of time in the past that is remembered as being particularly prosperous, peaceful, and/or happy."
all set,183,ready to go or begin something.
across the board,177,applying to everyone or everything in a group or category.
under construction,168,in the process of being built or developed.
down to earth,166,having a practical and realistic attitude.
in the pipeline,163,in the process of being developed or completed.
washed up,162,no longer successful or relevant.
in the bag,161,a situation that is certain to be successful.
off the hook,155,no longer held responsible or accountable for something.
green light,150,give permission or approval to proceed with a plan.
up in the air,149,"uncertain, undecided, unresolved."
under the table,146,done secretly or illegally.
cutting edge,137,the most advanced and up-to-date technology or ideas.
building blocks,136,the basic elements that are necessary to create something.
in the dock,135,"in a court of law, accused of a crime and awaiting judgement."
at the wheel,133,in control of a situation.
on the ball,131,"alert, attentive, and quick to act."
wishful thinking,131,hoping for something that is unlikely to happen.
keep at bay,126,to keep someone or something away or at a distance.
state of the art,124,the most advanced and up-to-date technology or equipment available.
on the rocks,123,in a state of decline or disrepair.
big deal,122,used to express that something is not important or impressive.
rule of thumb,121,"a general principle or guideline, rather than an exact formula."
how come,121,a question asking for an explanation or reason.
on the record,118,to make a statement that is officially recorded and can be used as evidence.
a new lease of life,115,a new opportunity to start fresh and make changes in one's life.
behind closed doors,106,"in private, away from public view."
the last straw,104,the final event or action that causes a situation to become unbearable.
in a nutshell,104,in a few words; concisely.
flesh and blood,104,"used to refer to a person's family or close friends, implying that they are the most important people in one's life."
thank goodness,97,expressing relief or gratitude.
against time,94,working quickly and urgently to complete a task before a deadline.
calendar year,93,"a period of twelve months, usually from January 1 to December 31."
next to nothing,93,very little or almost nothing.
dream come true,89,a wish or desire that has been fulfilled.
business as usual,87,"continue to operate as normal, despite any changes or disruptions."
all in all,84,"overall, taking everything into consideration."
between life and death,82,in a very dangerous or precarious situation.
the best of both worlds,82,having the advantages of two different situations at the same time.
round the clock,80,"continuously, without interruption, 24 hours a day."
under the sun,80,everything that exists or is possible.
over the hill,79,past one's prime; no longer young or in one's best years.
all the more,77,even more so; to an even greater degree.
high season,73,the busiest time of year for a particular activity or industry.
larger than life,71,having an impressive or grandiose presence.
nuts and bolts,70,the basic details or fundamentals of something.
word for word,68,"exactly as stated, without any changes."
level playing field,68,a situation in which all participants have an equal chance of success.
man in the street,64,"the average person, especially as representing public opinion."
a breath of fresh air,64,something new and refreshing.
nine times out of ten,63,almost always; usually.
on the fence,63,uncertain or undecided about something.
dirty work,60,"work that is unpleasant, unethical, or illegal."
to the hilt,59,to the maximum extent possible.
bricks and mortar,55,"a physical business or store, as opposed to an online business."
food for thought,54,something to consider or ponder over.
sixth sense,53,the ability to understand or know something without any proof or evidence.
tour de force,53,an impressive and remarkable feat or accomplishment.
odds and ends,51,miscellaneous items or small objects.
piece of cake,51,something that is very easy to do.
in limbo,51,in a state of uncertainty or delay with no resolution in sight.
fall from grace,51,"to lose the favor or respect of someone or something, usually due to a mistake or wrongdoing."
easier said than done,51,something that is more difficult to do than it is to say.
magic wand,50,a solution that will solve all of one's problems quickly and easily.
in the nick of time,50,just in time; at the last possible moment.
gut feeling,50,an instinctive feeling or intuition about something.
shelf life,50,the amount of time something is useful or relevant before it becomes outdated.
off the beaten track,49,not in a place that is frequented by many people; away from the usual paths.
ethnic cleansing,46,the systematic removal of a particular ethnic group from a given area by force or intimidation.
off the record,46,not to be taken as an official statement or to be shared with others.
weather permitting,46,if the weather is suitable or favorable.
out of this world,45,extremely good or impressive.
in cold blood,43,"in a deliberate and calculated manner, without emotion."
against the clock,42,working quickly and under pressure to complete a task before a certain deadline.
make up [pron] mind,41,come to a decision or opinion.
labour of love,41,"a task or project that is done out of passion or dedication, rather than for financial gain."
in the same boat,40,in the same situation or predicament.
come what may,40,no matter what happens.
in the heat of the moment,38,acting impulsively without considering the consequences.
back to the drawing board,37,"start over from the beginning, usually after a failed attempt."
old hat,37,something that is no longer new or interesting.
close to home,37,something that is personally relevant or meaningful.
dead and buried,37,completely finished and forgotten.
pain in the neck,36,a person or thing that is annoying or difficult to deal with.
rough time,36,a period of difficulty or hardship.
thumbs up,36,an expression of approval or agreement.
catch [pron] eye,36,attract someone's attention.
safe and sound,36,unharmed and in good condition.
behave yourself,33,act in an appropriate manner.
race against time,33,try to do something quickly before a deadline.
last but not least,33,"used to introduce the final item in a list of items, often to give it special emphasis."
keep [pron] cool,33,remain calm and composed in a difficult situation.
for a song,32,for a very low price.
tongue in cheek,32,"said or done in a humorous way, not to be taken seriously."
god knows,31,used to express one's uncertainty or lack of knowledge about something.
bad blood,31,a feeling of animosity or hostility between two people or groups.
at the drop of a hat,31,without hesitation; immediately.
no rush,31,there is no need to hurry or be in a hurry.
get [pron] act together,31,organize one's life and become more responsible.
on a shoestring,31,with very little money or resources.
give [pron] [pron] hand,31,help someone out.
black and blue,31,bruised or injured from physical violence.
through thick and thin,30,remaining loyal and supportive in difficult times.
head over heels,30,completely and utterly in love with someone.
silver lining,29,a hopeful or comforting aspect of a situation that is otherwise difficult or unpleasant.
out on the town,29,"to go out and have a good time, usually with friends."
get out of hand,29,become chaotic or uncontrollable.
under the weather,29,feeling unwell or sick.
the letter of the law,29,"adhering strictly to the exact wording of a law or rule, without considering the spirit or intent of the law."
well read,29,"having a wide knowledge of literature, history, and other topics."
an arm and a leg,29,a large amount of money
thumbs down,28,express disapproval or rejection of something.
above the law,28,not subject to the same rules and regulations as everyone else.
by the numbers,28,following a set of instructions or a plan exactly as it is written.
al fresco,28,eating or dining outdoors.
watch this space,28,wait and see what happens next.
strike [pron] balance,27,achieve a state of equilibrium between two opposing forces.
heart of gold,27,a kind and generous person.
a blessing in disguise,27,a good thing that initially seemed bad.
self explanatory,27,clear and understandable without needing further explanation.
just deserts,26,the reward or punishment that someone deserves.
rat race,26,"a stressful, unfulfilling lifestyle in which one is constantly competing with others to achieve success."
in the pink,26,in good health
bite [pron] lip,25,"refrain from speaking or expressing an opinion, usually in order to avoid conflict."
beyond words,25,unable to be expressed in words; too great or intense to be described.
baptism of fire,24,a situation in which someone is suddenly thrown into a difficult or dangerous situation and must quickly learn how to cope.
nine to five,24,"a regular job with regular hours, typically from 9am to 5pm."
a clean bill of health,24,a report or statement that indicates that someone or something is in good health or has been approved.
weak at the knees,24,feeling overwhelmed with emotion or excitement.
face the music,24,accept the consequences of one's actions.
right as rain,24,in perfect condition or health.
give [pron] slip,24,escape or elude someone.
in name only,23,having a title or position but no real authority or power.
cut [pron] throat,23,"to do something that will harm someone else, even if it means harming oneself in the process."
find [pron] feet,23,become comfortable and confident in a new situation.
now or never,23,a situation in which one must act immediately or miss the opportunity.
in a trice,23,very quickly.
rack [pron] brain,23,think hard and long about something in order to come up with a solution.
the acid test,23,a decisive or conclusive test or measure of the quality or effectiveness of something.
keep [pron] eye open,23,be vigilant and watchful for potential problems or opportunities.
take for [pron] ride,22,deceive or mislead someone for personal gain.
twist [pron] arm,22,persuade someone to do something they are reluctant to do.
sink or swim,22,face a difficult situation and either succeed or fail.
keep in touch,22,maintain communication with someone over a period of time.
alive and kicking,22,in good health and full of energy.
learn by heart,22,memorize something so that it can be recalled without difficulty.
volte face,22,a complete reversal of opinion or course of action.
lose [pron] head,22,become overwhelmed with emotion and act impulsively or irrationally.
you bet,21,"absolutely, definitely, certainly."
strapped for cash,21,having very little money available.
cross [pron] fingers,21,hope for the best.
strike [pron] chord,21,resonate with someone emotionally.
cheek by jowl,21,"very close together, side by side."
jump on [pron] bandwagon,21,"join a popular trend or opinion, usually without considering the consequences."
run for [pron] life,20,flee from a dangerous situation as quickly as possible.
long in the tooth,20,older in age.
to a fine art,20,to do something with great skill and precision.
on the wagon,20,abstaining from alcohol or other substances.
in the zone,20,a state of intense focus and concentration on a task.
glass ceiling,20,an unacknowledged barrier that prevents a certain group from rising to a higher level of power or success.
raw deal,20,an unfair or unjust situation.
pass [pron] buck,20,avoid taking responsibility for something by blaming someone else.
open warfare,19,a situation in which two sides are openly hostile and actively fighting each other.
nest egg,19,a sum of money saved for future use.
safety in numbers,19,being in a group makes one feel more secure and protected.
dead wood,19,people or things that are no longer useful or productive.
stick to [pron] guns,19,remain firm in one's opinion or decision despite opposition or criticism.
on the same page,19,in agreement or understanding about something.
on the same wavelength,19,in agreement or understanding with someone else.
under canvas,19,living in a tent or other temporary shelter.
in a fog,18,confused and unable to think clearly.
whiter than white,18,completely honest and ethical.
get on [pron] nerves,18,annoy or irritate someone.
take breath away,18,to be so amazing or shocking that it causes someone to be speechless.
behind [pron] back,18,to do something without someone's knowledge or consent.
third time lucky,18,the third attempt at something will be successful.
pin money,18,"extra money earned from a hobby or side job, usually used for small luxuries or treats."
beat [pron] retreat,18,"leave a place or situation quickly, usually in a disorganized or embarrassed manner."
pay [pron] dues,18,work hard and accept the necessary responsibilities to achieve success.
white elephant,18,a possession that is useless and expensive to maintain.
ill-gotten gains,18,money or other benefits that were obtained illegally or unethically.
pull [pron] leg,18,tease someone in a playful way.
poetic justice,18,"when someone receives the consequences of their own actions, often in a way that is fitting or appropriate."
pull yourself together,17,regain control of your emotions and behavior.
break [pron] back,17,overwhelm someone with a difficult task or situation.
technically speaking,17,used to emphasize that one is speaking accurately and precisely.
jump to conclusions,17,make a decision or judgment without having all the facts.
a shot in the arm,17,"a sudden boost of energy, enthusiasm, or confidence."
a red flag,17,a warning sign or indication of potential danger or trouble.
first among equals,17,the most important or influential person in a group of people who are all considered to be of equal status.
get to [pron] point,16,get to the main point of a discussion or conversation.
high and mighty,16,having an attitude of superiority or arrogance.
break a leg,16,wish someone good luck
root and branch,16,"completely and thoroughly, leaving no part untouched."
tie [pron] knot,16,get married.
salt of the earth,16,"a person who is honest, hardworking, and reliable."
rags to riches,16,a phrase used to describe a person who has gone from having nothing to having great wealth and success.
hale and hearty,16,in good health and full of energy.
close call,16,"a situation in which something almost happened, but did not."
make yourself at home,16,"feel comfortable and relaxed in a place, as if it were your own home."
curl [pron] lip,16,express disapproval or contempt for someone or something.
water under the bridge,16,something that happened in the past and is no longer relevant.
stiff upper lip,16,remain calm and composed in the face of adversity.
a flash in the pan,16,something that is initially successful but quickly fades away.
bite [pron] tongue,15,refrain from saying something that one is tempted to say.
fall out of love,15,stop feeling romantic love for someone.
elbow grease,15,hard work and effort.
make [pron] scene,15,draw attention to oneself in a negative way.
whet [pron] appetite,15,stimulate someone's interest or desire for something.
lose [pron] touch,15,"cease communication with someone, resulting in a lack of contact."
in bad shape,15,in a difficult or unfavorable situation.
on thin ice,15,"in a precarious situation, at risk of making a mistake or getting into trouble."
cut [pron] losses,15,"stop investing time, money, or energy into something that is not working out."
say [pron] piece,15,express one's opinion or feelings on a particular subject.
home truth,15,"a frank and honest statement, often unpleasant, that is said to someone in order to help them."
cloud nine,15,a state of extreme happiness or elation.
come under fire,14,"be criticized or attacked, especially in a public way."
add fuel to [pron] fire,14,make a bad situation worse by adding more problems or complications.
come from behind,14,to achieve success after being in a difficult or losing position.
flea market,14,a place where people can buy and sell second-hand goods.
snowed under,14,overwhelmed with work or responsibilities.
bag of tricks,14,"a collection of strategies, techniques, or resources that can be used to achieve a desired result."
rain or shine,14,"no matter what the conditions, the activity will take place."
[pron] man of action,14,someone who is quick to take action and get things done.
on cloud nine,14,feeling extremely happy and content.
nitty gritty,14,the most important details or facts of a situation.
pie in the sky,14,an unrealistic hope or dream that is unlikely to come true.
red tape,14,excessive bureaucracy and regulations that make it difficult to get something done.
big bucks,14,a large amount of money.
keep up the good work,14,continue to do something well or to make progress.
dream ticket,14,an ideal combination of people or things that would be perfect for a particular situation.
brought forward,14,moved to an earlier time or date.
start from scratch,13,"begin a task or project from the beginning, without using any existing resources or materials."
drive [pron] hard bargain,13,negotiate aggressively to get the best possible deal.
break up,13,end a romantic relationship.
come to [pron] attention,13,pay close attention to someone or something.
flotsam and jetsam,13,the random objects or debris that remain after a shipwreck or other disaster.
pick up [pron] tab,13,pay for someone else's expenses.
time is money,13,"the more time you spend on something, the more money it will cost."
fire [pron] imagination,13,inspire someone to think of new ideas or possibilities.
call [pron] names,13,insult or criticize someone in a rude or demeaning way.
a storm in a teacup,13,a situation that is made to seem much more serious or important than it really is.
in the family way,13,pregnant.
a sea change,13,a complete transformation or alteration.
dead to the world,13,completely unaware of what is happening around them.
carrot and stick,13,a method of motivation that combines rewards (carrots) with punishments (sticks) to encourage desired behavior.
keep [pron] head above water,13,manage to stay afloat financially or emotionally despite difficult circumstances.
no strings attached,12,no obligations or expectations; no hidden motives.
let [pron] off [pron] hook,12,forgive someone and not hold them accountable for something they did wrong.
give [pron] kiss of life,12,revive someone who is unconscious or near death.
in cahoots with,12,working together in secret to achieve a goal.
once in a blue moon,12,very rarely
mumbo jumbo,12,language or words that are difficult to understand and are used to confuse or deceive someone.
itchy feet,12,a strong desire to travel or explore new places.
rest up,12,take a break from activities to relax and recover energy.
red ink,12,a financial loss or deficit.
see [pron] point,12,understand and agree with someone's opinion.
beyond price,12,invaluable; priceless.
ray of sunshine,12,a person who brings joy and happiness to a situation.
beats me,12,I have no idea.
scratch [pron] head,12,puzzled or confused about something.
ahead of [pron] time,12,earlier than expected.
ring [pron] bell,12,remind someone of something they should know.
a fate worse than death,12,a situation or experience that is so unpleasant or unbearable that death would be preferable.
breathe [pron] last,12,die
stop by,11,visit someone or a place for a short period of time.
hop in,11,get into a vehicle.
dead meat,11,"in a very bad situation, likely to suffer serious consequences."
see eye to eye,11,"agree on something, have the same opinion."
set [pron] ball rolling,11,start a process or activity.
stage whisper,11,speaking in a loud whisper so that everyone can hear.
prick up [pron] ears,11,pay close attention to something.
burn [pron] fingers,11,experience a negative consequence as a result of taking a risk.
peeping tom,11,"a person who secretly watches others, usually for sexual gratification."
keep [pron] eye on,11,watch or monitor someone or something closely.
throw caution to [pron] wind,11,act recklessly without considering the consequences.
throw in [pron] towel,11,"give up, admit defeat, or concede."
tighten [pron] belt,11,reduce spending in order to save money.
ask out,11,to invite someone on a date.
let sleeping dogs lie,11,leave a situation alone and not try to change it.
magic touch,11,the ability to make something successful with very little effort.
above suspicion,11,beyond reproach; having no suspicion of wrongdoing.
a sorry sight,11,something that is very sad or pitiful to look at.
just what the doctor ordered,11,exactly what is needed to solve a problem or make a situation better.
caught in the crossfire,11,being in a situation where two opposing forces are in conflict and one is unintentionally harmed by the conflict.
get on board,11,agree to participate in or support something.
pressed for time,11,having very little time to complete a task.
give me five,11,request a high five as a gesture of celebration or agreement.
fit as a fiddle,11,in excellent physical condition.
nurse [pron] back to health,10,help someone recover from an illness or injury.
not for a minute,10,"absolutely not, not even for a short period of time."
wet behind the ears,10,inexperienced or naive.
be under no illusions,10,do not have false hopes or expectations; be realistic.
in the eyes of the law,10,according to the legal system.
spill [pron] beans,10,reveal a secret or private information.
get a life,10,stop wasting time on trivial matters and focus on more important things.
steal [pron] thunder,10,take the credit or recognition for something that someone else did.
[pron] life-saver,10,someone who helps out in a difficult situation and is greatly appreciated.
picture of health,10,a person who is in excellent physical and mental health.
an act of war,10,a hostile action that is considered to be an aggressive and hostile move.
come true,10,happen as expected or hoped for.
play [pron] joke,10,trick someone in a playful way.
build bridges,10,create a connection or relationship with someone.
go for broke,10,take a risk and use all of one's resources in an attempt to achieve a goal.
let bygones be bygones,10,stop dwelling on the past and move on.
for love nor money,10,"no matter how hard one tries, it is impossible to obtain something."
go back to [pron] drawing board,10,start over from the beginning with a plan or idea.
keep tabs on,10,to monitor or keep track of someone or something.
keeping [pron] fingers crossed,10,hoping for the best possible outcome.
come to terms with,10,accept and adjust to a difficult situation.
tough love,10,"a form of discipline that is strict and firm, but ultimately done out of love and care for the person."
many happy returns,10,wishing someone a happy birthday.
drag [pron] feet,10,procrastinate or delay doing something.
hell bent,10,"determined to do something, no matter the cost or consequences."
drive [pron] up [pron] wall,10,annoy someone to the point of frustration.
young at heart,10,"having a youthful outlook and enthusiasm, regardless of age."
fall on deaf ears,10,be ignored or not taken seriously.
sail close to [pron] wind,10,"take risks, act dangerously, or do something that is close to the edge of what is acceptable."
new arrival,10,a person or thing that has recently arrived or been introduced.
wild-goose chase,9,a futile search for something that is impossible to find.
play safe,9,avoid taking risks or making decisions that could have negative consequences.
break [pron] ice,9,to make someone feel more comfortable in a social situation by starting a conversation.
pulling [pron] leg,9,teasing someone in a playful way.
miss [pron] boat,9,fail to take advantage of an opportunity.
war of words,9,"a heated argument or disagreement between two people or groups, usually involving verbal insults or criticism."
war of nerves,9,a situation in which two people or groups try to gain an advantage over each other by using psychological tactics.
wag [pron] dog,9,manipulate someone to do something for one's own benefit.
young blood,9,"new, young people who bring fresh ideas and energy to a company or organization."
red letter day,9,"a special or important day, usually one that is remembered or celebrated."
perfect pitch,9,the ability to accurately identify or reproduce a given musical note without the use of an external reference.
beyond [pron] wildest dreams,9,far better than what was expected or hoped for.
quality time,9,time spent with someone that is focused on creating a strong bond and connection.
be sick and tired of,9,be extremely annoyed or frustrated with something.
inside job,9,a crime or other misdeed committed by someone within an organization or group.
jack of all trades,9,someone who is competent in many different skills or activities.
in the cold light of day,9,when looking at a situation objectively and without emotion.
come clean,9,"to confess the truth, especially after having lied or kept something hidden."
green with envy,9,feeling very jealous of someone else's success or possessions.
date rape,9,a form of sexual assault in which the perpetrator is someone the victim is in a romantic relationship with or is dating.
come hell or high water,9,no matter what obstacles or difficulties arise.
